Sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
top-helo,Top Helo,,instock,no,,variable,
top-helo-verde-neon-p,Verde Neon P ,true,instock,no,1,product-variant,9377
top-helo-laranja-neon-p,Laranja Neon P ,true,instock,no,1,product-variant,9377
top-helo-verde-neon-g,Verde Neon G ,true,instock,no,1,product-variant,9377
top-helo-verde-neon-m,Verde Neon M ,true,,no,0,product-variant,9377
top-helo-laranja-neon-g,Laranja Neon G ,true,,no,0,product-variant,9377
top-helo-laranja-neon-m,Laranja Neon M ,true,,no,0,product-variant,9377
vestido-ligia,Vestido Lígia,,instock,no,,variable,
vestido-ligia-dama-da-noite-p,Dama da Noite P ,true,instock,no,3,product-variant,9330
vestido-ligia-dama-da-noite-g,Dama da Noite G ,true,instock,no,3,product-variant,9330
